3690.517	0.000	0.000	0.000	-24.467	-6.142	-9.321	7.190	-11.595	8.040	-5.497	14.078	2.031	20.106	6.930	21.658	0.000	343.104	118.277	323.554	126.458	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.553	0.000	0.000	0.000	-24.186	-7.066	-9.986	9.037	-11.154	6.063	-5.409	13.564	3.298	20.128	8.335	22.176	0.000	343.138	118.247	323.578	126.482	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.580	0.000	0.000	0.000	-26.529	-7.938	-13.396	5.888	-12.255	8.400	-6.795	14.364	3.030	19.955	7.981	19.814	0.000	343.029	118.174	323.606	126.485	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.609	0.000	0.000	0.000	-23.192	-5.375	-11.484	8.876	-11.554	7.834	-5.820	12.770	5.419	18.178	8.340	20.180	0.000	342.930	118.250	323.441	126.588	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.637	0.000	0.000	0.000	-26.172	-6.773	-10.277	8.253	-11.611	6.747	-6.694	13.139	3.083	18.341	6.113	22.554	0.000	342.960	118.156	323.449	126.365	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.667	0.000	0.000	0.000	-25.853	-6.221	-10.427	9.412	-11.237	7.443	-6.009	14.066	4.172	20.510	7.151	21.061	0.000	342.994	118.058	323.542	126.542	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.699	0.000	0.000	0.000	-25.125	-5.794	-9.459	9.118	-10.418	6.927	-6.669	13.843	3.598	19.341	8.050	19.491	0.000	343.006	118.240	323.457	126.568	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.729	0.000	0.000	0.000	-25.291	-6.098	-12.433	8.882	-11.065	9.822	-4.108	13.560	2.130	19.556	5.266	22.158	0.000	343.099	118.216	323.509	126.467	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.757	0.000	0.000	0.000	-25.617	-7.057	-10.067	8.401	-11.039	7.366	-5.586	13.417	2.036	21.988	7.580	20.531	0.000	343.018	118.065	323.485	126.545	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.787	0.000	0.000	0.000	-25.002	-6.540	-12.986	7.710	-9.725	8.761	-6.221	13.075	1.546	21.297	7.261	21.036	0.000	342.977	118.081	323.509	126.574	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.821	0.000	0.000	0.000	-23.933	-6.789	-8.730	7.936	-10.395	9.603	-5.921	13.313	1.764	19.085	7.210	21.458	0.000	343.022	118.208	323.551	126.461	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.848	0.000	0.000	0.000	-23.299	-5.375	-10.952	8.877	-11.757	7.522	-5.902	12.856	1.889	19.400	7.370	22.639	0.000	343.024	118.183	323.500	126.577	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
3690.878	0.000	0.000	0.000	-23.915	-7.168	-10.477	8.084	-10.145	8.495	-6.037	12.623	1.145	18.410	6.747	20.050	0.000	343.058	118.116	323.552	126.460	0.000	1.000	1.000	1.000	0.000	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.660	1.000
